Ad?,Company Name,Stars,Phone Number,Yelp URL,Email,Street Address,City,State,ZIP,Exception,Company URL,Submission,Email Address
Natural,"David Yan, MD",5,(203) 614-8800,http://yelp.com/biz/david-yan-md-fairfield,,"Fairfield Plastic Surgery140 Sherman St, 3rd Fl",Fairfield,CT,6824,,http://www.fairfieldplasticsurgery.com/,,
Natural,"Mark D Epstein, MD FACS",N/A,(631) 689-1100,http://yelp.com/biz/mark-d-epstein-md-facs-stony-brook-2,,2500 Rt 347Bldg 22A,Stony Brook,NY,11790,,http://www.epsteinplasticsurgery.com,,
Natural,"Neil A Gordon, MD, PC",N/A,(203) 834-7700,http://yelp.com/biz/neil-a-gordon-md-pc-wilton,,539 Danbury Rd,Wilton,CT,6897,,http://www.retreatatsplitrock.com,,
Natural,AgeFocus,4.5,(631) 243-3628,http://yelp.com/biz/agefocus-southampton-2,,365 County Rd 39ASte 10,Southampton,NY,11968,,http://AgeFocus.net,,
Natural,"Johnny Mao, MD",N/A,(203) 907-0501,http://yelp.com/biz/johnny-mao-md-orange,,200 S Orange Center Rd,Orange,CT,6477,,http://www.maofacialplastics.com/,,
Natural,"Ellen A. Mahony, MD",N/A,(203) 221-0102,http://yelp.com/biz/ellen-a-mahony-md-westport-3,,131 Kings Highway North,Westport,CT,6880,,http://www.drellenmahony.com,,
Natural,Rosenthal Jeffrey ___â€°_«_„__¥_µ__MD,5,(203) 335-3223,http://yelp.com/biz/rosenthal-jeffrey-md-fairfield,,140 Sherman St,Fairfield,CT,6824,,http://www.artofplasticsurgery.com,,
Natural,Silverstone Philip J MD,1,(203) 488-5688,http://yelp.com/biz/silverstone-philip-j-md-branford,,1236 Main St,Branford,CT,6405,,http://www.eyevision2020.net,,
Natural,Plastic Surgery of Southern Connecticut,N/A,(203) 454-0044,http://yelp.com/biz/plastic-surgery-of-southern-connecticut-westport-2,,208 Post Rd W,Westport,CT,6880,,http://www.plasticsurgeryct.com/,,
Natural,"Wilfred Brown, MD FACS",1,(203) 758-2564,http://yelp.com/biz/wilfred-brown-md-facs-middlebury,,530 Middlebury RdSte 201A,Middlebury,CT,6762,,http://www.drwilfredbrown.com,,
Natural,Levin Richard A MD,N/A,(203) 259-4700,http://yelp.com/biz/levin-richard-a-md-fairfield,,1305 Post Rd Ste 302,Fairfield,CT,6824,,http://entoffairfield.com,,
Natural,Pomperaug Plastic Surgery,N/A,(203) 262-6200,http://yelp.com/biz/pomperaug-plastic-surgery-southbury,,22 Poverty Road,Southbury,CT,6488,,http://www.pomperaugplasticsurgery.com,,
Natural,"Paul Kelly, MD, FACS",N/A,(631) 727-8050,http://yelp.com/biz/paul-kelly-md-facs-riverhead,,ENT and Allergy Associates292 Shade Tree Ln,Riverhead,NY,11931,,http://www.entandallergy.com/afp/afpphysician/Paul-E.-Kelly-MD,,
Natural,Vein Institute of Connecticut,N/A,(203) 426-5554,http://yelp.com/biz/vein-institute-of-connecticut-newtown-2,,33 Church Hill Rd,Newtown,CT,6470,,http://www.veininstitutect.com,,
Natural,"Gary J. Price, M.D., P.C",5,(203) 453-6635,http://yelp.com/biz/gary-j-price-m-d-p-c-guilford-2,,5 Durham RoadSuite 1-8,Guilford,CT,6437,,http://www.drgaryprice.com/,,
Natural,Advanced Cosmetic & Plastic Surgery,N/A,(203) 438-5080,http://yelp.com/biz/advanced-cosmetic-and-plastic-surgery-ridgefield,,901 Ethan Allen Hwy,Ridgefield,CT,6877,,http://www.acpsurgery.com,,
Natural,Dr. James Lyons,N/A,(203) 221-1919,http://yelp.com/biz/dr-james-lyons-westport,,One Morningside Dr N,Westport,CT,6880,,http://www.drjameslyons.com,,
Natural,"Stanley Foster ___â€°_«_„__¥_µ__MD, PC",N/A,(888) 828-5476,http://yelp.com/biz/stanley-foster-md-pc-middlebury,,1625 Straits TnpkSte 108,Middlebury,CT,6762,,http://www.drstanleyfoster.com/,,
Natural,Westport Medispa,N/A,(203) 227-5437,http://yelp.com/biz/westport-medispa-westport,,32 Imperial Ave,Westport,CT,6880,,http://westportmedispa.com,,
Natural,Candlewood Aesthetics and Laser Center,5,(203) 797-9249,http://yelp.com/biz/candlewood-aesthetics-and-laser-center-danbury,,103 Newtown Rd,Danbury,CT,6810,,http://candlewoodaesthetics.com/,,
Natural,Julia B Sabetta MD,N/A,(203) 454-3933,http://yelp.com/biz/julia-b-sabetta-md-westport,,225 Main StSte 101,Westport,CT,6880,,http://www.juliasabettamd.com,,
Natural,Aesthetic Plastic Surgery Center,N/A,(203) 222-3700,http://yelp.com/biz/aesthetic-plastic-surgery-center-westport,,32 Imperial Ave,Westport,CT,6880,,http://www.westportplasticsurgery.com,,
Natural,"Laurence Kirwan, MD, FRCS, FACS",1,(203) 838-8844,http://yelp.com/biz/laurence-kirwan-md-frcs-facs-norwalk,,148 East AvenueSuite 2A,Norwalk,CT,6851,,http://www.drkirwan.com/,,
Natural,Sound Foot Care Center of Connecticut,N/A,(203) 866-7686,http://yelp.com/biz/sound-foot-care-center-of-connecticut-norwalk-3,,148 East AveSuite 2G,Norwalk,CT,6851,,http://www.soundfootcare.com,,
Natural,Bass David M MD PC,N/A,(860) 247-3479,http://yelp.com/biz/david-m-bass-md-pc-hartford,,85 Seymour St,Hartford,CT,6106,,http://www.dmbassmd.com,,
Natural,Imperial Plastic Surgery,N/A,(203) 226-6351,http://yelp.com/biz/imperial-plastic-surgery-westport,,32 Imperial AveSte B,Westport,CT,6880,,http://www.implasticsurgery.com,,
Natural,"Michael Baroody, MD",N/A,(203) 790-5700,http://yelp.com/biz/michael-baroody-md-danbury,,51-53 Kenosia AveSte 201,Danbury,CT,6810,,http://www.baroodyplasticsurgery.com,,
Natural,Zeno ___â€°_«_„__¥_µ__Chicarilli DMD,N/A,(203) 782-9720,http://yelp.com/biz/zeno-chicarilli-dmd-new-haven,,40 Temple St,New Haven,CT,6510,,http://www.zenochicarillimd.com,,
Natural,"Joseph A DeLapa, DDS",N/A,(914) 533-6166,http://yelp.com/biz/joseph-a-delapa-dds-south-salem,,363 Smith Ridge Rd,South Salem,NY,10590,,http://www.drdelapa.com,,
Natural,Milgrim Laurence M MD,N/A,(203) 380-3707,http://yelp.com/biz/milgrim-laurence-m-md-trumbull,,160 Hawley Ln,Trumbull,CT,6611,,http://www.entallergymd.com,,
Natural,American Board of Laser Surgery,N/A,(203) 332-2507,http://yelp.com/biz/american-board-of-laser-surgery-trumbull,,55 Corporate Dr 3rd Fl,Trumbull,CT,6611,,http://americanboardoflasersurgery.org,,
Natural,Vein Therapy Center of Fairfield County,N/A,(203) 855-0167,http://yelp.com/biz/vein-therapy-center-of-fairfield-county-norwalk,,148 East Ave,Norwalk,CT,6851,,http://www.veintherapycenter.com/,,
Natural,Facial Surgery Center,N/A,(203) 261-7800,http://yelp.com/biz/the-facial-surgery-center-trumbull-3,,115 Technology Dr Suite B101,Trumbull,CT,6611,,http://www.drflorio.com,,
Natural,"Robert L. Weiss, MD",3.5,(203) 845-2244,http://yelp.com/biz/robert-l-weiss-md-norwalk,,761 Main AveSte 101,Norwalk,CT,6851,,http://www.ct-ent.com,,
Natural,Suffolk Plastic Surgeons PC,1,(631) 751-4400,http://yelp.com/biz/suffolk-plastic-surgeons-pc-east-setauket,,179 N Belle Mead Ave Ste 1,East Setauket,NY,11733,,http://www.suffolkplasticsurgeon.com,,
Natural,"Kenneth M Patrician, ___â€°_«_„__¥_µ__DMD",N/A,(860) 346-6060,http://yelp.com/biz/kenneth-m-patrician-dmd-middletown,,583 Saybrook Rd,Middletown,CT,6457,,http://drpatrician.com,,
Natural,"Richard J Restifo, PC",N/A,(203) 483-0739,http://yelp.com/biz/richard-j-restifo-pc-branford,,420 E Main St,Branford,CT,6405,,http://www.restifoplasticsurgery.com/,,
Natural,Chervin Bradford S MD,N/A,(203) 256-3338,http://yelp.com/biz/chervin-bradford-s-md-southport,,2600 Post Rd,Southport,CT,6890,,http://www.drbchervin.com,,
Natural,"Paula A.Moynahan, MD",N/A,(203) 754-4125,http://yelp.com/biz/paula-a-moynahan-md-middlebury,,687 Straits Tpke,Middlebury,CT,6762,,http://paulamoynahanmd.com,,
Natural,Dr. Lloyd D. Landsman,1,(631) 864-4111,http://yelp.com/biz/lloyd-d-landsman-md-pc-smithtown-2,,994 West Jericho TpkeSuite 102,Smithtown,NY,11787,,http://longislandnyplasticsurgeon.com,,
Natural,"Nelson A Jack, DDS",3,(631) 728-1300,http://yelp.com/biz/nelson-a-jack-dds-hampton-bays-2,,240 W Montauk Hwy,Hampton Bays,NY,11946,,https://www.eastendoralsurgery.com,,
Natural,"Rick Rosen, MD",N/A,(203) 899-0000,http://yelp.com/biz/rick-rosen-md-norwalk,,91 East Ave,Norwalk,CT,6851,,http://www.drrickrosen.com,,
Natural,Deluise Vincent P MD,N/A,(203) 574-2020,http://yelp.com/biz/deluise-vincent-p-md-waterbury,,87 Grandview Ave,Waterbury,CT,6708,,http://www.opticarepc.com,,
Natural,Bluestein Harvey J MD,N/A,(203) 254-8557,http://yelp.com/biz/bluestein-harvey-j-md-fairfield,,325 Reef RdSte 105,Fairfield,CT,6824,,http://www.drbluestein.com/,,
Natural,"Ginny Leva, MD",N/A,(631) 261-0693,http://yelp.com/biz/ginny-leva-md-northport,,320 Laurel Rd,Northport,NY,11768,,http://www.ginnylevamd.com,,
Natural,Family Practice of Litchfield County,N/A,(860) 482-6513,http://yelp.com/biz/family-practice-of-litchfield-county-torrington,,780 Litchfield St,Torrington,CT,6790,,http://www.litchfieldlaser.com,,
Natural,Bender Stuart H MD,N/A,(203) 226-6821,http://yelp.com/biz/bender-stuart-h-md-westport,,125 Kings Hwy N,Westport,CT,6880,,http://www.ctdermgroup.com,,
Natural,"Jane Olson, MD",N/A,(203) 857-0115,http://yelp.com/biz/jane-olson-md-norwalk-2,,148 East AveSte 2A,Norwalk,CT,6851,,http://www.doctorjaneolson.com/,,
Natural,Nolan Eye & Laser Center,N/A,(860) 674-9627,http://yelp.com/biz/nolan-eye-and-laser-center-farmington-2,,1 Forest Park Dr,Farmington,CT,6032,,http://www.nolaneye.com,,
Natural,East End Plastic Surgery & Laser Center,N/A,(631) 318-0003,http://yelp.com/biz/east-end-plastic-surgery-and-laser-center-riverhead,,1267 E Main St,Riverhead,NY,11901,,http://www.eastend-plasticsurgery.com/,,
Natural,Advanced Specialty Care PC,N/A,(203) 857-9218,http://yelp.com/biz/advanced-specialty-care-pc-norwalk,,488 Main Ave,Norwalk,CT,6851,,http://www.ascdocs.com,,
Natural,"Cap Lesesne,MD PC",5,(212) 570-6318,http://yelp.com/biz/cap-lesesne-md-pc-mount-kisco,,101 S Bedford Rd,Mount Kisco,NY,10549,,http://caplesesne.com,,
Natural,"Zachary C Weber, DMD, MD",5,(914) 241-4800,http://yelp.com/biz/zachary-c-weber-dmd-md-mount-kisco-2,,103 S Bedford RdSte 205,Mount Kisco,NY,10549,,http://www.northernwestchesteroms.com,,
Natural,Aesthetic Dermatology of Fairfield County,N/A,(203) 966-2336,http://yelp.com/biz/aesthetic-dermatology-of-fairfield-county-new-canaan-2,,1 Morse Ct,New Canaan,CT,6840,,http://www.drlittzi.com/,,
Natural,Stanislaw Facial Plastic Surgery Center,1,(860) 409-1515,http://yelp.com/biz/stanislaw-facial-plastic-surgery-center-avon-2,,35 Nod RdSte 204,Avon,CT,6001,,http://www.stanislawmd.com,,
Natural,Aesthetic Medical Center & Advanced Ob/Gyn Care,N/A,(860) 409-1933,http://yelp.com/biz/aesthetic-medical-center-and-advanced-ob-gyn-care-avon,,35 Nod RdSte 201B,Avon,CT,6001,,http://www.drmarcovici.com/,,
Natural,Mrudangi Thakur Plastic & Reconstructive Surgery PC,N/A,(914) 962-8888,http://yelp.com/biz/mrudangi-thakur-md-jefferson-valley-2,,3650 Hill Blvd,Jefferson Valley,NY,10535,,http://jeffersonvalleyplasticsurgeons.com,,
Natural,"Arthur R Rosenstock, MD",N/A,(203) 359-1959,http://yelp.com/biz/arthur-r-rosenstock-md-stamford,,1290 Summer StSte 3100,Stamford,CT,6905,,http://www.arosenstockmd.com/,,
Natural,Kiridly Nabil MD,N/A,(631) 366-2220,http://yelp.com/biz/kiridly-nabil-md-smithtown,,267 E Main St,Smithtown,NY,11787,,http://www.drkiridly.com,,
Natural,"Alan Kisner, MD, FACS",N/A,(631) 424-4004,http://yelp.com/biz/alan-kisner-md-facs-huntington,,100 E Main St,Huntington,NY,11743,,http://www.kisnerplasticsurgery.com/,,
Natural,"William D Losquadro, MD",N/A,(914) 232-3135,http://yelp.com/biz/william-d-losquadro-md-katonah,,111 Bedford Rd,Katonah,NY,10536,,http://www.wdlmd.com,,
Natural,Youthful Images,N/A,(860) 242-0505,http://yelp.com/biz/youthful-images-bloomfield,,580 Cottage Grove RdSte 103,Bloomfield,CT,6002,,http://www.youthfulimages.com,,
Natural,Collins Siobhan C MD,N/A,(860) 388-9799,http://yelp.com/biz/collins-siobhan-c-md-old-saybrook,,633 Middlesex Tpke Ste 109,Old Saybrook,CT,6475,,http://www.saybrookdermatology.com,,
Natural,Kleinman Plastic Surgery,N/A,(914) 253-0700,http://yelp.com/biz/kleinman-plastic-surgery-rye-brook,,800 Westchester AveSte S-512,Rye Brook,NY,10573,,http://www.cosmeticsurgerywestchester.com/,,
Natural,Palumbo Steven K MD PC,N/A,(631) 653-6112,http://yelp.com/biz/palumbo-steven-k-md-pc-quogue,,25 Montauk Hwy,Quogue,NY,11959,,http://www.longislandbreastsurgery.com,,
Natural,Harold E Beam M D,N/A,(860) 266-6502,http://yelp.com/biz/harold-e-beam-m-d-glastonbury,,300 Hebron AveSte 101,Glastonbury,CT,6033,,http://www.doctorbeam.com,,
Natural,Syosset Plastic Surgery,N/A,(516) 221-2552,http://yelp.com/biz/syosset-plastic-surgery-syosset,,175 Jericho TpkeSte 212,Syosset,NY,11791,,http://www.syossetplasticsurgery.com,,
Natural,"John Farella, MD",N/A,(914) 290-4700,http://yelp.com/biz/john-farella-md-white-plains,,311 North StSte 408,White Plains,NY,10605,,http://www.drfarella.com,,
Natural,"Richard Yung, MD, FACS",N/A,(914) 949-3888,http://yelp.com/biz/richard-yung-md-facs-white-plains,,"ENT &amp; Allergy Associates75 S Broadway, 3rd Floor",White Plains,NY,10601,,http://www.entandallergy.com/doctor/richard-yung-md,,
Natural,Medical Aesthetics of Woodbury,N/A,(516) 931-2525,http://yelp.com/biz/medical-aesthetics-of-woodbury-hicksville-2,,370 S Oyster Bay Rd,Hicksville,NY,11801,,http://www.medicalaestheticsofwoodbury.com/,,
Natural,"Long Island Eyelid Surgery Center - Rachel Ellis, MD",N/A,(516) 822-7546,http://yelp.com/biz/long-island-eyelid-surgery-center-rachel-ellis-md-plainview,,2 Patton Place,Plainview,NY,11803,,http://eye.belaray.com,,
Natural,"James Brady, MD, PC",N/A,(631) 287-0711,http://yelp.com/biz/james-brady-md-pc-southampton,,686 County Rd 39ABldg 2,Southampton,NY,11968,,http://www.jamesbradymd.com,,
Natural,Westchester Aesthetic Center,N/A,(914) 231-7666,http://yelp.com/biz/westchester-aesthetic-center-ardsley,,1053 Saw Mill River Rd LL2,Ardsley,NY,,,http://www.westchesteraestheticcenter.com/,,
Natural,Esana Plastic Surgery Center and MedSpa,4,(203) 794-7085,http://yelp.com/biz/esana-plastic-surgery-center-and-medspa-new-haven-3,,1 Audubon StSuite 201,New Haven,CT,6511,,http://www.esanamedspa.com/,,
Natural,Laser Body Solutions,3,(203) 281-5745,http://yelp.com/biz/laser-body-solutions-hamden,,2440 Whitney AveSte 8,Hamden,CT,6518,,https://www.laserbody.com,,
Natural,La Piele Private Boutique Spa,4.5,(631) 629-4334,http://yelp.com/biz/la-piele-private-boutique-spa-huntington,,198 New York Ave,Huntington,NY,11743,,http://www.lapieleskincare.com,,
Natural,Skin Center,4,(914) 949-6200,http://yelp.com/biz/skin-center-hartsdale,,220 S Central Ave,Hartsdale,NY,10530,,http://bestskincenter.com,,
Natural,Elite Laser Hair,5,(631) 317-4046,http://yelp.com/biz/elite-laser-hair-bohemia,,3920 Veterans HwySte 1,Bohemia,NY,11716,,http://www.elitelaserhair.com/,,
Natural,Spatique Medical Spa,5,(631) 724-7720,http://yelp.com/biz/spatique-medical-spa-smithtown,,260 E Main StSte 112,Smithtown,NY,11787,,http://www.marinaperedomd.com,,
Natural,Pure Vitality Rx,5,(516) 200-9722,http://yelp.com/biz/pure-vitality-rx-oyster-bay-2,,63 Audrey Ave,Oyster Bay,NY,11771,,http://www.purevitalityrx.com,,
Natural,Cavi Spa,4.5,(516) 941-1600,http://yelp.com/biz/cavi-spa-garden-city-2,,647 Franklin Ave,Garden City,NY,11530,,http://www.cavispa.com/,,
Natural,DermAesthetics,N/A,(203) 699-6772,http://yelp.com/biz/dermaesthetics-medical-spa-and-skin-care-center-southbury,,348 Main St S,Southbury,CT,6488,,http://www.dermaestheticsct.com,,
Natural,Radiance Medspa,3.5,(860) 409-9000,http://yelp.com/biz/radiance-medspa-avon,,320 W Main St,Avon,CT,6001,,http://www.radianceavon.com,,
Natural,Schulman Vein and Laser Center,5,(631) 543-4599,http://yelp.com/biz/schulman-vein-and-laser-center-commack,,353 Veterans Memorial HwySte 206,Commack,NY,11725,,http://schulmanveinandlasercenter.com/,,
Natural,Spa Chiara Wellness Center,N/A,(914) 752-6850,http://yelp.com/biz/spa-chiara-wellness-center-mount-kisco,,333 N Bedford Rd,Mount Kisco,NY,10549,,http://www.spachiara.com,,
Natural,Electrolysis by Diane,5,(914) 937-9396,http://yelp.com/biz/electrolysis-by-diane-rye-brook-4,,109 N Ridge St,Rye Brook,NY,10573,,http://www.electrolysisbydianej.com,,
Natural,North Shore Vein Center,N/A,(516) 869-8346,http://yelp.com/biz/north-shore-vein-center-and-medical-spa-lake-success,,1 Hollow LnSuite 210,Lake Success,NY,11042,,http://www.northshorevein.com/,,
Natural,Imakeupyou,N/A,(516) 901-2359,http://yelp.com/biz/imakeupyou-west-islip-3,,,West Islip,NY,,,http://www.imakeupyou.com,,
Natural,Simply Posh Aesthetic Spa,4.5,(516) 272-4632,http://yelp.com/biz/simply-posh-aesthetic-spa-albertson-3,,175 IU Willets Rd,Albertson,NY,11507,,http://www.simplyposh.com/,,
Natural,"Steven Covici, MD, FACS",5,(413) 737-7300,http://yelp.com/biz/steven-covici-md-facs-springfield,,2640 Main StSte 203,Springfield,MA,1107,,http://www.drstevencovici.com/,,
Natural,Spa On the Green,4,(413) 565-2405,http://yelp.com/biz/spa-on-the-green-springfield,,776 Longmeadow St,Springfield,MA,1103,,http://www.spaonthegreen.com,,
Natural,Facial Cosmetic & Maxillofacial Surgery PC,N/A,(413) 525-0100,http://yelp.com/biz/facial-cosmetic-and-maxillofacial-surgery-pc-east-longmeadow,,382 N Main StSte 202,East Longmeadow,MA,1028,,http://www.anewfaceforyou.com,,
Natural,Truswell William H MD,1,(413) 587-0600,http://yelp.com/biz/truswell-william-h-md-northampton,,61 Locust St,Northampton,MA,1060,,http://www.truswellplasticsurg.com,,
Natural,"Aesthetic Plastic & Reconstructive Surgery, PC",N/A,(413) 565-4400,http://yelp.com/biz/aesthetic-plastic-and-reconstructive-surgery-pc-longmeadow-2,,776 Longmeadow St,Longmeadow,MA,1106,,http://www.drglenbrooks.com/,,
Natural,"Frank P. Fechner, MD",4,(508) 754-4000,http://yelp.com/biz/frank-p-fechner-md-worcester,,Facial Plastic Surgery428 Shrewsbury St,Worcester,MA,1604,,http://www.DrFechner.com,,
Natural,Plastikka,N/A,(508) 347-9444,http://yelp.com/biz/plastikka-sturbridge,,69 Hall Rd,Sturbridge,MA,1566,,http://www.plastikka.com,,
Natural,New London Cancer Center & Breast Health Clinic,N/A,(860) 443-4455,http://yelp.com/biz/new-london-cancer-center-and-breast-health-clinic-waterford,,196 Parkway S,Waterford,CT,6385,,http://www.newlondoncancercenter.com,,
Natural,"Roger A Allcroft, MD, FACS",N/A,(413) 586-3200,http://yelp.com/biz/roger-a-allcroft-md-facs-northampton,,163 Conz St,Northampton,MA,1060,,http://www.allcroftsurgery.com/,,
Natural,Wolf Dermatology & Laser Center,N/A,(860) 449-9090,http://yelp.com/biz/wolf-dermatology-and-laser-center-groton,,495 Gold Star Hwy Ste 108,Groton,CT,6340,,http://www.erwolfmd.com,,
Natural,Kurland Stephen R MD,N/A,(860) 928-7330,http://yelp.com/biz/kurland-stephen-r-md-putnam,,346 Pomfret St,Putnam,CT,6260,,http://www.haelen.com,,
Natural,"Associates in Otolaryngology - Head and Neck Surgery, P.C.",4,(508) 757-0330,http://yelp.com/biz/associates-in-otolaryngology-head-and-neck-surgery-worcester,,48 Elm St,Worcester,MA,1609,,http://www.aohns.com,,
Natural,ProLase Laser Clinic,N/A,(844) 735-1425,http://yelp.com/biz/prolase-laser-clinic-worcester,,574 Pleasant St,Worcester,MA,1602,,http://www.prolase.net,,
Natural,Renew By MD,N/A,(860) 245-4641,http://yelp.com/biz/renew-by-md-stonington,,530 Stonington RdSte 102,Stonington,CT,6378,,http://www.renewbymd.com/,,
Natural,Bentkover Facial Plastic Surgery and Laser Center,N/A,(508) 363-6500,http://yelp.com/biz/bentkover-facial-plastic-surgery-and-laser-center-worcester,,123 Summer StSte 675,Worcester,MA,1608,,http://www.drbentkover.com/,,
Natural,New England Laser Lipo,1,(508) 202-4540,http://yelp.com/biz/new-england-laser-lipo-shrewsbury,,6 Gordon Rd,Shrewsbury,MA,1545,,http://www.newenglandlaserlipo.com,,
Natural,New England Dermatology & Laser Center,2,(413) 733-9600,http://yelp.com/biz/new-england-dermatology-and-laser-center-springfield,,3455 Main StSte 5,Springfield,MA,1107,,http://www.nedlc.com,,
Natural,La Dermique,N/A,(413) 786-3376,http://yelp.com/biz/la-dermique-feeding-hills-2,,1154 Springfield St,Feeding Hills,MA,1030,,http://www.ladermique.com,,
Natural,Cosmetic & Laser Center,4.5,(617) 701-7555,http://yelp.com/biz/cosmetic-and-laser-center-boston,,330 Congress St,Boston,MA,2210,,http://www.1bostonlaser.com,,
Natural,"Christopher J Davidson, MD",4,(781) 237-7700,http://yelp.com/biz/christopher-j-davidson-md-wellesley-2,,332 Washington StSte 100,Wellesley,MA,2481,,http://christopherdavidsonmd.com,,
Natural,AdonisMD Cosmetic Surgery Center,4,(508) 870-5900,http://yelp.com/biz/adonismd-cosmetic-surgery-center-westborough,,24 Lyman St,Westborough,MA,1581,,http://www.veinstop.com,,
Natural,Polacek Center For Plastic Surgery,3,(401) 331-0202,http://yelp.com/biz/polacek-center-for-plastic-surgery-cranston,,2000 Chapel View BlvdSte 110,Cranston,RI,2920,,http://www.polacekplasticsurgery.com,,
Natural,"Patrick K Sullivan, MD",5,(401) 831-8300,http://yelp.com/biz/patrick-k-sullivan-md-providence,,235 Plain StSte 502,Providence,RI,2905,,http://www.drsullivan.com/,,
Natural,RI ENT Physicians Inc,5,(401) 728-0140,http://yelp.com/biz/ri-ent-physicians-inc-pawtucket,,333 School StSte 302,Pawtucket,RI,2860,,http://www.rient.net,,
Natural,"Robert K Dyer, MD Dermatology",5,(401) 471-3376,http://yelp.com/biz/robert-k-dyer-dermatology-east-greenwich,,3461 S County Trl Suite 202,East Greenwich,RI,2818,,http://www.dyerderm.com,,
Natural,O____Â ___â€°_«___â€°_«_â€__Sullivan Plastic Surgery,4.5,(781) 235-1007,http://yelp.com/biz/o-sullivan-plastic-surgery-wellesley,,14 Denton Rd,Wellesley,MA,2482,,http://www.osullivanplasticsurgery.com,,
Natural,Fiona RN MedSpa,5,(855) 762-6869,http://yelp.com/biz/fiona-rn-medspa-framingham,,435 Worcester Rd,Framingham,MA,1701,,http://www.fiftyshadesofbeauty.com,,
Natural,Seacoast Eye Associates,3.5,(401) 783-7009,http://yelp.com/biz/seacoast-eye-associates-wakefield,,70 Kenyon AveUnit 211,Wakefield,RI,2879,,http://www.seacoasteye.com/,,
Natural,Joseph Russo M.D.,4,(617) 964-1440,http://yelp.com/biz/joseph-russo-md-facs-newton-centre,,575 Boylston Street2nd Floor,Newton Centre,MA,2459,,http://www.josepharussomd.com/,,
Natural,"William Numa, MD, FACS",5,(617) 694-6678,http://yelp.com/biz/william-numa-md-facs-boston-2,,"38 Newbury StSte 601, 6th Fl",Boston,MA,2116,,http://www.drwilliamnuma.com,,
Natural,"Dave E David, MD",4.5,(508) 505-6474,http://yelp.com/biz/dave-e-david-md-dedham,,200 Providence Hwy,Dedham,MA,2026,,http://www.medfacebody.com,,
Natural,"Richard J Zienowicz, MD, FACS",1,(401) 453-0120,http://yelp.com/biz/richard-j-zienowicz-md-facs-providence,,10 Bridge St,Providence,RI,2903,,http://www.bodybyz.com/,,
Natural,Boston Medical Aesthetics,5,(617) 973-9700,http://yelp.com/biz/boston-medical-aesthetics-boston,,21 Merchants RowSte 3A,Boston,MA,2109,,http://bostonmedicalaesthetics.net/,,
Natural,"Jeannie Chung, MD",5,(781) 235-3223,http://yelp.com/biz/jeannie-chung-md-wellesley,,40 Walnut StSte 202,Wellesley,MA,2481,,http://www.drjeanniechung.com,,
Natural,"Kenneth Gilbert, MD",5,(617) 479-1492,http://yelp.com/biz/kenneth-gilbert-md-quincy,,1261 Furnace Brook PkwySte 16,Quincy,MA,2169,,http://www.kennethgilbertmd.com,,
Natural,Aesthetic Wellness Center,3,(508) 366-2020,http://yelp.com/biz/aesthetic-wellness-center-westborough,,2 Connector RdSte C,Westborough,MA,1581,,http://www.awcenter.com,,
Natural,"Horndeski Gary, MD",N/A,(281) 331-0701,http://yelp.com/biz/horndeski-gary-md-sugar-land,,14887 Southwest Fwy,Sugar Land,TX,77478,,http://www.horndeski.com/,,
Natural,Cilento Facial Plastics,N/A,(281) 364-1001,http://yelp.com/biz/cilento-facial-plastics-houston,,650 W. Bough LnSte 164,Houston,TX,77024,,http://www.drbencilento.com/,,
Natural,Correa Plastic Surgery,5,(832) 779-2778,http://yelp.com/biz/correa-plastic-surgery-the-woodlands,,4850 W Panther Creek DrSte 105,The Woodlands,TX,77381,,http://www.correaplasticsurgery.com,,
Natural,Texas Institute for Spine Care,N/A,(844) 774-6389,http://yelp.com/biz/texas-institute-for-spine-care-houston,,14770 Memorial DriveSuite 100,Houston,TX,77079,,http://www.helaspine.com,,
Natural,Texas Oral & Facial Surgery,N/A,(281) 395-1200,http://yelp.com/biz/texas-oral-and-facial-surgery-katy,,810 S Mason RdSte 301,Katy,TX,77450,,http://www.txofs.com,,
Natural,Luxe Plastic Surgery,N/A,(281) 313-0551,http://yelp.com/biz/luxe-plastic-surgery-sugar-land,,4660 Sweetwater BlvdSuite 190,Sugar Land,TX,77479,,http://www.luxeplasticsurgery.com/,,
Natural,Ata Ahmad & Associates,N/A,(281) 970-8484,http://yelp.com/biz/ata-ahmad-and-associates-houston,,11740 FM 1960,Houston,TX,77065,,http://www.ataahmadmd.com,,
Natural,Shannon Thomas O MD,3,(936) 321-4345,http://yelp.com/biz/shannon-thomas-o-md-the-woodlands,,3115 College Park DrSte 101,The Woodlands,TX,77384,,http://www.keystoneprs.com,,
Natural,Texas Facial Plastics,N/A,(936) 441-1064,http://yelp.com/biz/texas-facial-plastics-conroe,,503 Medical Ctr BlvdSte 120,Conroe,TX,77304,,http://www.drbencilento.com,,
Natural,New Image MD Clinic,N/A,(832) 544-1024,http://yelp.com/biz/new-image-md-clinic-tomball,,11617 Spring Cypress RdBldg C Ste A &amp; B,Tomball,TX,77377,,http://www.newimagemdclinic.com,,
Natural,Buczek Ronald A DO,N/A,(281) 363-2829,http://yelp.com/biz/buczek-ronald-a-do-spring,,"Woodlands Cosmetic &amp; Hand Surgical Associates, Inc.9006 Forrest Crossing Dr Ste E",Spring,TX,77381,,http://thewoodlandscosmeticandhand.com/,,
